gene,cts,sample,plate,experimental_replicate
WSP,22.493,POP2_A_10,plate_1,2
WSP,22.487,POP2_A_10,plate_1,2
WSP,22.357,CSB_E_6,plate_1,2
WSP,22.375,CSB_E_6,plate_1,2
WSP,35.077,CSB-REF_A_2,plate_1,2
WSP,35.287,CSB-REF_A_2,plate_1,2
WSP,22.724,CSB_D_4,plate_1,2
WSP,23.427,CSB_A_5,plate_1,2
WSP,23.559,CSB_A_5,plate_1,2
WSP,23.106,POP_A_8,plate_1,2
WSP,23.092,POP_A_8,plate_1,2
WSP,22.856,CSB_C_2,plate_1,2
WSP,22.873,CSB_C_2,plate_1,2
WSP,26.064,POP_B_3,plate_1,2
RPL32,27.495,CSB_D_4,plate_1,2
RPL32,28.164,POP_B_3,plate_1,2
RPL32,26.999,POP2_A_10,plate_1,2
RPL32,27.037,POP2_A_10,plate_1,2
RPL32,27.351,CSB_E_6,plate_1,2
RPL32,27.124,CSB_E_6,plate_1,2
RPL32,NA,CSB-REF_A_2,plate_1,2
RPL32,NA,CSB-REF_A_2,plate_1,2
RPL32,27.536,CSB_D_4,plate_1,2
RPL32,26.829,CSB_A_5,plate_1,2
RPL32,26.805,CSB_A_5,plate_1,2
RPL32,26.706,POP_A_8,plate_1,2
RPL32,26.788,POP_A_8,plate_1,2
RPL32,27.493,CSB_C_2,plate_1,2
RPL32,27.683,CSB_C_2,plate_1,2
RPL32,28.006,POP_B_3,plate_1,2
WSP,22.97,POP_A_10,plate_1,2
WSP,24.542,CSB_A_4,plate_1,2
WSP,22.933,POP2_A_8,plate_1,2
WSP,22.883,POP2_A_8,plate_1,2
WSP,26.559,CSB_B_2,plate_1,2
WSP,26.387,CSB_B_2,plate_1,2
WSP,34.22,CSB-REF_A_3,plate_1,2
WSP,35.464,CSB-REF_A_3,plate_1,2
WSP,22.981,POP_A_10,plate_1,2
WSP,19.844,POP2_C_8,plate_1,2
WSP,19.953,POP2_C_8,plate_1,2
WSP,27.308,POP_B_2,plate_1,2
WSP,27.318,POP_B_2,plate_1,2
WSP,18.824,POP_C_2,plate_1,2
WSP,18.738,POP_C_2,plate_1,2
WSP,24.306,CSB_A_4,plate_1,2
RPL32,26.903,POP_A_10,plate_1,2
RPL32,27.01,CSB_A_4,plate_1,2
RPL32,26.994,POP2_A_8,plate_1,2
RPL32,26.99,POP2_A_8,plate_1,2
RPL32,27.935,CSB_B_2,plate_1,2
RPL32,27.826,CSB_B_2,plate_1,2
RPL32,NA,CSB-REF_A_3,plate_1,2
RPL32,NA,CSB-REF_A_3,plate_1,2
RPL32,27.018,POP_A_10,plate_1,2
RPL32,27.263,POP2_C_8,plate_1,2
RPL32,27.283,POP2_C_8,plate_1,2
RPL32,27.839,POP_B_2,plate_1,2
RPL32,27.983,POP_B_2,plate_1,2
RPL32,27.222,POP_C_2,plate_1,2
RPL32,27.135,POP_C_2,plate_1,2
RPL32,27.068,CSB_A_4,plate_1,2
WSP,22.71,POP_A_3,plate_1,2
WSP,22.683,POP2_A_7,plate_1,2
WSP,18.357,POP2_C_1,plate_1,2
WSP,18.366,POP2_C_1,plate_1,2
WSP,18.97,POP_C_10,plate_1,2
WSP,18.991,POP_C_10,plate_1,2
WSP,34.416,CSB-REF_A_4,plate_1,2
WSP,34.044,CSB-REF_A_4,plate_1,2
WSP,22.771,POP_A_3,plate_1,2
WSP,22.497,CSB_C_6,plate_1,2
WSP,22.593,CSB_C_6,plate_1,2
WSP,22.547,CSB_E_4,plate_1,2
WSP,22.605,CSB_E_4,plate_1,2
WSP,22.21,POP2_B_1,plate_1,2
WSP,22.169,POP2_B_1,plate_1,2
WSP,22.67,POP2_A_7,plate_1,2
RPL32,26.955,POP_A_3,plate_1,2
RPL32,27.161,POP2_A_7,plate_1,2
RPL32,27.764,POP2_C_1,plate_1,2
RPL32,27.82,POP2_C_1,plate_1,2
RPL32,27.245,POP_C_10,plate_1,2
RPL32,27.225,POP_C_10,plate_1,2
RPL32,NA,CSB-REF_A_4,plate_1,2
RPL32,NA,CSB-REF_A_4,plate_1,2
RPL32,27.127,POP_A_3,plate_1,2
RPL32,27.246,CSB_C_6,plate_1,2
RPL32,27.43,CSB_C_6,plate_1,2
RPL32,27.632,CSB_E_4,plate_1,2
RPL32,27.278,CSB_E_4,plate_1,2
RPL32,27.442,POP2_B_1,plate_1,2
RPL32,27.287,POP2_B_1,plate_1,2
RPL32,27.163,POP2_A_7,plate_1,2
WSP,22.636,CSB_C_1,plate_1,2
WSP,26.404,POP2_B_5,plate_1,2
WSP,24.928,CSB_B_5,plate_1,2
WSP,24.862,CSB_B_5,plate_1,2
WSP,22.875,POP2_B_2,plate_1,2
WSP,22.922,POP2_B_2,plate_1,2
WSP,34.391,CSB-REF_A_5,plate_1,2
WSP,34.643,CSB-REF_A_5,plate_1,2
WSP,22.535,CSB_C_1,plate_1,2
WSP,23.266,POP2_A_3,plate_1,2
WSP,23.341,POP2_A_3,plate_1,2
WSP,22.968,POP2_A_4,plate_1,2
WSP,23.088,POP2_A_4,plate_1,2
WSP,18.956,POP2_C_9,plate_1,2
WSP,18.85,POP2_C_9,plate_1,2
WSP,26.217,POP2_B_5,plate_1,2
RPL32,27.3,CSB_C_1,plate_1,2
RPL32,28.077,POP2_B_5,plate_1,2
RPL32,27.58,CSB_B_5,plate_1,2
RPL32,27.699,CSB_B_5,plate_1,2
RPL32,27.27,POP2_B_2,plate_1,2
RPL32,27.396,POP2_B_2,plate_1,2
RPL32,NA,CSB-REF_A_5,plate_1,2
RPL32,NA,CSB-REF_A_5,plate_1,2
RPL32,27.323,CSB_C_1,plate_1,2
RPL32,27.106,POP2_A_3,plate_1,2
RPL32,27.059,POP2_A_3,plate_1,2
RPL32,27.076,POP2_A_4,plate_1,2
RPL32,27.088,POP2_A_4,plate_1,2
RPL32,27.316,POP2_C_9,plate_1,2
RPL32,27.461,POP2_C_9,plate_1,2
RPL32,28.05,POP2_B_5,plate_1,2
WSP,24.062,POP_B_4,plate_1,2
WSP,25.109,POP_B_5,plate_1,2
WSP,23.215,CSB_D_2,plate_1,2
WSP,23.108,CSB_D_2,plate_1,2
WSP,19.612,POP_C_9,plate_1,2
WSP,19.624,POP_C_9,plate_1,2
WSP,34.059,CSB-REF_A_6,plate_1,2
WSP,33.412,CSB-REF_A_6,plate_1,2
WSP,23.921,POP_B_4,plate_1,2
WSP,22.946,POP2_B_3,plate_1,2
WSP,22.972,POP2_B_3,plate_1,2
WSP,18.31,POP_C_3,plate_1,2
